,X_train (sequence),y_train
87,"0.0271,0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355",0.0366
88,"0.0388,0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366",0.0411
89,"0.0419,0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411",0.0448
90,"0.0423,0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448",0.0459
91,"0.0414,0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459",0.0453
92,"0.0412,0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453",0.042
93,"0.046,0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042",0.0416
94,"0.0494,0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416",0.0356
95,"0.0469,0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356",0.0384
96,"0.046,0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384",0.0373
97,"0.0461,0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373",0.0384
98,"0.0538,0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384",0.0369
99,"0.0452,0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369",0.0385
100,"0.049,0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385",0.0334
101,"0.0478,0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334",0.0371
102,"0.0469,0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371",0.0334
103,"0.0473,0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334",0.0391
104,"0.0441,0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391",0.0458
105,"0.0395,0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458",0.0458
106,"0.0388,0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458",0.0438
107,"0.0378,0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438",0.0445
108,"0.0378,0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445",0.0431
109,"0.0354,0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431",0.0496
110,"0.0355,0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496",0.049
